Label,Confidence,Center_X,Center_Y,X1,Y1,X2,Y2
Hole,0.9544892311096191,506,296,488,287,524,305
Hole,0.929783821105957,449,297,432,288,467,306
Hole,0.9293521046638489,387,270,370,262,404,279
Hole,0.9228642582893372,504,268,486,259,523,277
Hole,0.913407027721405,481,323,464,314,498,332
Hole,0.907382607460022,392,299,374,290,410,308
Hole,0.8962850570678711,447,269,428,260,466,278
Hole,0.8805952072143555,532,239,513,229,552,249
Hole,0.862523078918457,425,323,408,315,442,332
Hole,0.860077440738678,328,272,309,263,348,281
Hole,0.8539332151412964,471,241,451,231,492,251
Hole,0.8398545384407043,563,267,543,258,583,276
Hole,0.8248368501663208,564,295,545,285,583,305
Hole,0.7917991876602173,456,348,438,339,474,357
Hole,0.786235511302948,350,243,331,232,370,255
Hole,0.7847396731376648,367,325,350,316,385,335
Hole,0.7776888608932495,537,321,518,312,556,331
Hole,0.7564699053764343,559,320,452,0,666,640
Hole,0.7342156171798706,332,300,313,290,352,310
Hole,0.7071652412414551,412,242,392,232,432,253
Hole,0.5791578888893127,480,330,353,20,608,640
Hole,0.5010387897491455,701,332,666,312,736,352
